t,r,r_hold,vel_r_measured,v_r,v_theta,vel_theta,v_z,vel_z
30.60871223600043,7.221268464645597,7.182744913680823,0.5409410681879158,-0.6999999880744621,-1.5,-1.6856639666291677,0.0,-0.0008806653786450624
30.64027861199793,7.1921610719282825,7.160628753664807,0.5470858045698889,-0.6999999880756143,-1.5,-1.6859353651794498,0.0,-0.0008788336999714375
30.70148909099953,7.162865255839581,7.1177295749369165,0.553857179164524,-0.6999999880764785,-1.5,-1.68632961015932,0.0,-0.0009215464815497398
30.76262921899979,7.133455906354316,7.075099761515067,0.5586503531764203,-0.6999999880771266,-1.5,-1.6867383390310875,0.0,-0.0007528415299020708
30.792699828998593,7.103702739181793,7.053908856305006,0.5625028632605948,-0.6999999880776127,-1.5,-1.6870823098794034,0.0,-0.0006904814508743584
30.85586018200047,7.073653428083375,7.009781678864418,0.566882618988286,-0.6999999880779773,-1.5,-1.687396620686829,0.0,-0.0006607564864680171
30.88662988899887,7.043600919810193,6.9881775465800775,0.5697517670717834,-0.6999999880782507,-1.5,-1.6876724870745061,0.0,-0.0005610989755950868
30.95036904399967,7.013502414094021,6.943579730872328,0.5719481781428424,-0.6999999880784558,-1.5,-1.6879233688519284,0.0,-0.0006963444175198674
30.981492733000778,6.983094997062309,6.921694884557722,0.5752435011196169,-0.6999999880786096,-1.5,-1.6882795662034427,0.0,-0.0007548980647698045
31.043808685997647,6.952343893362151,6.8780967579351024,0.5793250252724153,-0.699999988078725,-1.5,-1.6886536177801763,0.0,-0.0008154710521921515
31.106163994998496,6.921426620079711,6.834516989542756,0.5847179517057733,-0.6999999880788115,-1.5,-1.689194656044744,0.0,-0.0008833541069179773
31.137795450998965,6.890288651951567,6.812341916296744,0.5905665142449001,-0.6999999880788763,-1.5,-1.6898315104781096,0.0,-0.0009533942793495953
31.17058659599934,6.858712909209771,6.7893867851569105,0.5969104985325386,-0.6999999880789249,-1.5,-1.6905879275655717,0.0,-0.0009721250389702618
31.263198051998188,6.826809456385589,6.724539006987285,0.6014548292645572,-0.6999999880789615,-1.5,-1.6914020200712792,0.0,-0.0008462823461741209
31.294404633998056,6.794832959913949,6.702689541989203,0.6054613714395622,-0.6999999880789889,-1.5,-1.692227210105663,0.0,-0.0007591648027300835
31.357070725000085,6.7628576992464495,6.658912672960858,0.6087023299530661,-0.6999999880790094,-1.5,-1.6929674872677518,0.0,-0.000803450820967555
